answer	length	kind	pos	clue	selfref	display	lexname	synset
NASTURTIUM	10	common	noun	flowers and seeds and leaves all used as flavorings	0	nasturtium	noun.food	07835745-n
NASTURTIUM	10	name	noun	a genus of seven plant species in the family Brassicaceae (Nasturtium)	1	Nasturtium	noun.plant	11913473-n
NASTURTIUMFAMILY	16	name	noun	coextensive with the genus Tropaeolum	0	nasturtium family	noun.plant	12740037-n
NASTY	5	common	adj	disgustingly dirty; filled or smeared with offensive matter	0	nasty	adj.all	00423109-s
NASTY	5	common	adj	characterized by obscenity	0	nasty	adj.all	00426832-s
NASTY	5	common	adj	exasperatingly difficult to handle or circumvent	0	nasty	adj.all	00751340-s
NASTY	5	common	adj	offensive or even (of persons) malicious	0	nasty	adj.all	01591485-a
NASUA	5	name	noun	coatis	0	Nasua	noun.animal	02512036-n
NASUANARICA	11	common	noun	omnivorous mammal of Central America and South America	0	Nasua narica	noun.animal	02512146-n
NATAL	5	common	adj	relating to or accompanying birth	0	natal	adj.pert	02778150-a
NATAL	5	common	adj	of or relating to the buttocks	0	natal	adj.pert	02778286-a
NATAL	5	name	noun	a port city in northeastern Brazil	0	Natal	noun.location	08875029-n
NATAL	5	name	noun	a region of eastern South Africa on the Indian Ocean	0	Natal	noun.location	08994044-n
NATALDAY	8	common	noun	the date on which a person was born	0	natal day	noun.time	15277233-n
NATALIEWOOD	11	name	noun	United States film actress (1938-1981)	0	Natalie Wood	noun.person	11415890-n
NATALITY	8	common	noun	the ratio of live births in an area to the population of that area; expressed per 1000 population per year	0	natality	noun.time	15301413-n
NATALPLUM	9	common	noun	edible scarlet plumlike fruit of a South African plant	0	natal plum	noun.food	07762886-n
NATALPLUM	9	common	noun	South African shrub having forked spines and plumlike fruit; frequently used as hedging	0	natal plum	noun.plant	11792215-n
NATALPLUM	9	common	noun	very large closely branched South African shrub having forked bright green spines and shiny leaves	0	natal plum	noun.plant	11792393-n
NATANTIA	8	name	noun	shrimp; prawns; etc.	0	Natantia	noun.animal	01989008-n
NATATION	8	common	noun	the act of someone who floats on the water	0	natation	noun.act	00444216-n
NATATOR	7	common	noun	a person who travels through the water by swimming	0	natator	noun.person	10702573-n
NATATORIUM	10	common	noun	pool that provides a facility for swimming	0	natatorium	noun.artifact	04378312-n
NATCHEZ	7	name	noun	a town in southwest Mississippi on the Mississippi River	0	Natchez	noun.location	09127876-n
NATES	5	common	noun	the fleshy part of the human body that you sit on	0	nates	noun.body	05566889-n
NATHANBIRNBAUM	14	name	noun	United States comedian and film actor (1896-1996)	0	Nathan Birnbaum	noun.person	10893370-n
NATHANIELBOWDITCH	17	name	noun	United States mathematician and astronomer noted for his works on navigation (1773-1838)	0	Nathaniel Bowditch	noun.person	10879081-n
NATHANIELHAWTHORNE	18	name	noun	United States writer of novels and short stories mostly on moral themes (1804-1864)	0	Nathaniel Hawthorne	noun.person	11055614-n
NATICIDAE	9	name	noun	moonshells	0	Naticidae	noun.animal	01950515-n
NATION	6	common	noun	the people who live in a nation or country	1	nation	noun.group	08183451-n
NATION	6	common	noun	a politically organized body of people under a single government	0	nation	noun.group	08185877-n
NATION	6	common	noun	a federation of tribes (especially Native American tribes)	0	nation	noun.group	08320622-n
NATION	6	name	noun	United States prohibitionist who raided saloons and destroyed bottles of liquor with a hatchet (1846-1911)	0	Nation	noun.person	11221051-n
NATIONAL	8	common	adj	inside the country	0	national	adj.all	01042014-s
NATIONAL	8	common	adj	concerned with or applicable to or belonging to an entire nation or country	1	national	adj.all	01109533-a
NATIONAL	8	common	adj	limited to or in the interests of a particular nation	1	national	adj.all	01572255-a
NATIONAL	8	common	adj	owned or maintained for the public by the national government	1	national	adj.all	01867716-s
NATIONAL	8	common	adj	of or relating to or belonging to a nation or country	1	national	adj.pert	02999528-a
NATIONAL	8	common	adj	of or relating to nationality	0	national	adj.pert	02999749-a
NATIONAL	8	common	adj	characteristic of or peculiar to the people of a nation	1	national	adj.pert	02999870-a
NATIONAL	8	common	noun	a person who owes allegiance to that nation	1	national	noun.person	09648571-n
NATIONALACADEMYOFSCIENCES	25	common	noun	an honorary American society of scientists created by President Lincoln during the American Civil War	0	National Academy of Sciences	noun.group	08297950-n
NATIONALANTHEM	14	common	noun	a song formally adopted as the anthem for a nation	1	national anthem	noun.communication	07063095-n
NATIONALASSISTANCE	18	common	noun	benefits paid to bring incomes up to minimum levels established by law	0	national assistance	noun.act	01089664-n
NATIONALBANK	12	common	noun	a commercial bank chartered by the federal government	1	national bank	noun.group	08435588-n
NATIONALCAPITAL	15	common	noun	the capital city of a nation	1	national capital	noun.location	08709407-n
NATIONALDEBTCEILING	19	common	noun	a limit set by Congress beyond which the national debt cannot rise; periodically raised by Congress	1	national debt ceiling	noun.possession	13419247-n
NATIONALFLAG	12	common	noun	an emblem flown as a symbol of nationality	0	national flag	noun.communication	06895059-n
NATIONALHOLIDAY	15	common	noun	authorized by law and limiting work or official business	0	national holiday	noun.time	15224427-n
NATIONALISATION	15	common	noun	changing something from private to state ownership or control	0	nationalisation	noun.act	01154283-n
NATIONALISATION	15	common	noun	the action of rendering national in character	0	nationalisation	noun.act	01154795-n
NATIONALISATION	15	common	noun	the action of forming or becoming a nation	0	nationalisation	noun.act	01154956-n
NATIONALISE	11	common	verb	put under state control or ownership	0	nationalise	verb.change	00412472-v
NATIONALISE	11	common	verb	make national in character or scope	0	nationalise	verb.change	00579372-v
NATIONALISM	11	common	noun	love of country and willingness to sacrifice for it	0	nationalism	noun.attribute	04885296-n
NATIONALISM	11	common	noun	the doctrine that your national culture and interests are superior to any other	0	nationalism	noun.cognition	05973889-n
NATIONALISM	11	common	noun	the doctrine that nations should act independently (rather than collectively) to attain their goals	0	nationalism	noun.cognition	05974062-n
NATIONALISM	11	common	noun	the aspiration for national independence felt by people under foreign domination	0	nationalism	noun.feeling	07500187-n
NATIONALIST	11	common	noun	an advocate of national independence of or a strong national government	0	nationalist	noun.person	10365746-n
NATIONALIST	11	common	noun	one who loves and defends his or her country	0	nationalist	noun.person	10427055-n
NATIONALISTIC	13	common	adj	fanatically patriotic	0	nationalistic	adj.all	01744607-s
NATIONALISTLEADER	17	common	noun	the leader of a nationalist movement	1	nationalist leader	noun.person	10365929-n
NATIONALITY	11	common	noun	people having common origins or traditions and often comprising a nation	0	nationality	noun.group	07966049-n
NATIONALITY	11	common	noun	the status of belonging to a particular nation by birth or naturalization	0	nationality	noun.state	13977005-n
NATIONALIZATION	15	common	noun	changing something from private to state ownership or control	0	nationalization	noun.act	01154283-n
NATIONALIZATION	15	common	noun	the action of rendering national in character	0	nationalization	noun.act	01154795-n
NATIONALIZATION	15	common	noun	the action of forming or becoming a nation	0	nationalization	noun.act	01154956-n
NATIONALIZE	11	common	verb	put under state control or ownership	0	nationalize	verb.change	00412472-v
NATIONALIZE	11	common	verb	make national in character or scope	0	nationalize	verb.change	00579372-v
NATIONALLEADER	14	common	noun	a person who is a respected leader in national or international affairs	1	national leader	noun.person	10669601-n
NATIONALLIBRARYOFMEDICINE	25	name	noun	the world's largest medical library	1	National Library of Medicine	noun.artifact	03816281-n
NATIONALLY	10	common	adv	with regard to a nation taken as a whole	0	nationally	adv.all	00136477-r
NATIONALLY	10	common	adv	extending throughout an entire nation	0	nationally	adv.all	00409125-r
NATIONALPARK	12	common	noun	a tract of land declared by the national government to be public property	1	national park	noun.location	08618548-n
NATIONALPARKSERVICE	19	common	noun	an agency of the Interior Department responsible for the national parks	1	National Park Service	noun.group	08156637-n
NATIONALSERVICE	15	common	noun	compulsory service in the military during peacetime	1	national service	noun.act	00580238-n
NATIONALSOCIALISM	17	common	noun	a form of socialism featuring racism and expansionism and obedience to a strong leader	1	national socialism	noun.group	08383367-n
NATIONALSOCIALIST	17	common	adj	relating to a form of socialism	0	national socialist	adj.pert	03011226-a
NATIONALTRADINGPOLICY	21	common	noun	a government's policy controlling foreign trade	1	national trading policy	noun.communication	06675763-n
NATIONHOOD	10	common	noun	the state of being a nation	0	nationhood	noun.state	13949484-n
NATIONWIDE	10	common	adv	extending throughout an entire nation	0	nationwide	adv.all	00409125-r
NATIONWIDE	10	common	adj	occurring or extending throughout a country or nation	0	nationwide	adj.all	00529160-s
NATIVE	6	common	noun	indigenous plants and animals	0	native	noun.Tops	00019226-n
NATIVE	6	common	adj	belonging to one by birth	0	native	adj.all	01037678-a
NATIVE	6	common	adj	characteristic of or existing by virtue of geographic origin	0	native	adj.all	01039765-a
NATIVE	6	common	adj	characteristic of or relating to people inhabiting a region from the beginning	0	native	adj.all	01040830-a
NATIVE	6	common	adj	as found in nature in the elemental form	0	native	adj.all	01913172-s
NATIVE	6	common	noun	an indigenous person who was born in a particular place	0	native	noun.person	09643964-n
NATIVE	6	common	noun	a person born in a particular place or country	0	native	noun.person	09644402-n
NATIVEALASKAN	13	common	noun	a member or descendant of any of the aboriginal peoples of Alaska	0	Native Alaskan	noun.person	09760405-n
NATIVEAMERICAN	14	common	adj	of or pertaining to Native Americans or their culture or languages	1	Native American	adj.pert	02939379-a
NATIVEAMERICAN	14	common	noun	any member of the peoples living in North or South America before the Europeans arrived	0	Native American	noun.person	09664887-n
NATIVEAUSTRALIAN	16	common	noun	a member of the people living in Australia when Europeans arrived	0	native Australian	noun.person	09695957-n
NATIVEBEECH	11	common	noun	tall Australian timber tree yielding tough hard wood used for staves etc	0	native beech	noun.plant	12719358-n
NATIVEBORN	10	common	adj	belonging to a place by birth	0	native-born	adj.all	01040704-s
NATIVECAT	9	common	noun	carnivorous arboreal cat-like marsupials of Australia and Tasmania	1	native cat	noun.animal	01886844-n
NATIVEFUCHSIA	13	common	noun	erect deciduous shrub or tree to 10 feet with maroon flowers; New Zealand	0	native fuchsia	noun.plant	12364468-n
NATIVEHAWAIIAN	14	common	noun	a member or descendant of the indigenous Polynesian people who lived in the Hawaiian Islands	1	Native Hawaiian	noun.person	09762021-n
NATIVELAND	10	common	noun	the country where you were born	0	native land	noun.location	08527190-n
NATIVELANGUAGE	14	common	noun	the language that a person has spoken from earliest childhood	1	native language	noun.communication	06916172-n
NATIVENESS	10	common	noun	the quality of belonging to or being connected with a certain place or region by virtue of birth or origin	0	nativeness	noun.attribute	04807130-n
NATIVEORANGE	12	common	noun	small Australian tree bearing edible dark purple fruit	0	native orange	noun.plant	11886207-n
NATIVEPEACH	11	common	noun	red Australian fruit; used for dessert or in jam	0	native peach	noun.food	07785282-n
NATIVEPEAR	10	common	noun	tree bearing pear-shaped fruit with a thick woody epicarp	1	native pear	noun.plant	12244657-n
NATIVEPOMEGRANATE	17	common	noun	small Australian tree bearing edible fruit resembling the pomegranate	1	native pomegranate	noun.plant	11885745-n
NATIVESPEAKER	13	common	noun	a speaker of a particular language who has spoken that language since earliest childhood	1	native speaker	noun.person	10650493-n
NATIVESULFUR	12	common	noun	an old name for sulfur	1	native sulfur	noun.substance	14809484-n
NATIVESULPHUR	13	common	noun	an old name for sulfur	0	native sulphur	noun.substance	14809484-n
NATIVISM	8	common	noun	(philosophy) the philosophical theory that some ideas are innate	0	nativism	noun.cognition	05982065-n
NATIVISM	8	common	noun	the policy of perpetuating native cultures (in opposition to acculturation)	0	nativism	noun.communication	06673413-n
NATIVIST	8	common	adj	of or relating to or advocating nativism	0	nativist	adj.pert	03000018-a
NATIVIST	8	common	adj	advocating the perpetuation of native societies	0	nativist	adj.pert	03000261-a
NATIVIST	8	common	noun	a philosopher who subscribes to nativism	0	nativist	noun.person	09648846-n
NATIVISTIC	10	common	adj	of or relating to or advocating nativism	0	nativistic	adj.pert	03000018-a
NATIVISTIC	10	common	adj	advocating the perpetuation of native societies	0	nativistic	adj.pert	03000261-a
NATIVITY	8	common	noun	the event of being born	0	nativity	noun.event	07334902-n
NATO	4	common	noun	an international organization created in 1949 by the North Atlantic Treaty for purposes of collective security	0	NATO	noun.group	08191297-n
NATRIURESIS	11	common	noun	the presence of abnormally large amounts of sodium in the urine	0	natriuresis	noun.state	14293743-n
NATRIURETIC	11	common	adj	of or relating to natriuresis	0	natriuretic	adj.pert	02778368-a
NATRIX	6	name	noun	water snakes; a cosmopolitan genus	0	Natrix	noun.animal	01739838-n
NATRIXMAURA	11	common	noun	a small harmless grass snake	0	Natrix maura	noun.animal	01740706-n
NATRIXNATRIX	12	common	noun	harmless European snake with a bright yellow collar; common in England	0	Natrix natrix	noun.animal	01740516-n
NATROLITE	9	common	noun	a group of minerals of the zeolite family consisting of a hydrous silicate of sodium and aluminum	0	natrolite	noun.substance	15132091-n
NATTA	5	name	noun	Italian chemist noted for work on polymers (1903-1979)	0	Natta	noun.person	11221254-n
NATTER	6	common	verb	talk socially without exchanging too much information	0	natter	verb.communication	01040538-v
NATTERJACK	10	common	noun	common brownish-yellow short-legged toad of western Europe; runs rather than hops	0	natterjack	noun.animal	01649289-n
NATTILY	7	common	adv	in a natty manner; with smartness	0	nattily	adv.all	00409329-r
NATTINESS	9	common	noun	stylishness as evidenced by a smart appearance	0	nattiness	noun.attribute	04821256-n
NATTY	5	common	adj	marked by up-to-dateness in dress and manners	0	natty	adj.all	00975112-s
NATURAL	7	common	adj	free from artificiality	0	natural	adj.all	00075202-s
NATURAL	7	common	noun	(craps) a first roll of 7 or 11 that immediately wins the stake	0	natural	noun.act	01248497-n
NATURAL	7	common	adj	being talented through inherited qualities	0	natural	adj.all	01338661-s
NATURAL	7	common	adj	(of a parent or child) related by blood; genetically related	0	natural	adj.all	01408930-a
NATURAL	7	common	adj	in accordance with nature; relating to or concerning nature	0	natural	adj.all	01574358-a
NATURAL	7	common	adj	existing in or produced by nature; not artificial or imitation	0	natural	adj.all	01575285-a
NATURAL	7	common	adj	existing in or in conformity with nature or the observable world; neither supernatural nor magical	0	natural	adj.all	01578429-a
NATURAL	7	common	adj	(of a musical note) being neither raised nor lowered by one chromatic semitone	0	natural	adj.all	01582180-a
NATURAL	7	common	adj	functioning or occurring in a normal way; lacking abnormalities or deficiencies	0	natural	adj.all	01599632-s
NATURAL	7	common	adj	(used especially of commodities) being unprocessed or manufactured using only simple or minimal processes	0	natural	adj.all	01959465-s
NATURAL	7	common	adj	unthinking; prompted by (or as if by) instinct	0	natural	adj.all	02290719-s
NATURAL	7	common	noun	a notation cancelling a previous sharp or flat	0	natural	noun.communication	06880268-n
NATURAL	7	common	noun	someone regarded as certain to succeed	0	natural	noun.person	10366123-n
NATURALABILITY	14	common	noun	ability that is inherited	1	natural ability	noun.cognition	05631720-n
NATURALACTION	13	common	noun	a process existing in or produced by nature (rather than by the intent of human beings)	0	natural action	noun.process	13540166-n
NATURALCHILDBIRTH	17	common	noun	labor and childbirth without medical intervention; no drugs are given to relieve pain or aid the birth process	1	natural childbirth	noun.process	13539859-n
NATURALCOVERING	15	common	noun	a natural object that covers or envelops	1	natural covering	noun.object	09280855-n
NATURALDEPRESSION	17	common	noun	a sunken or depressed geological formation	0	natural depression	noun.object	09388914-n
NATURALELEVATION	16	common	noun	a raised or elevated geological formation	0	natural elevation	noun.object	09389214-n
NATURALENCLOSURE	16	common	noun	a naturally enclosed space	0	natural enclosure	noun.object	09296197-n
NATURALENDOWMENT	16	common	noun	natural abilities or qualities	1	natural endowment	noun.cognition	05631825-n
NATURALEVENT	12	common	noun	an event that happens	1	natural event	noun.event	07298313-n
NATURALFIBER	12	common	noun	fiber derived from plants or animals	1	natural fiber	noun.substance	14983373-n
NATURALFIBRE	12	common	noun	fiber derived from plants or animals	0	natural fibre	noun.substance	14983373-n
NATURALGAS	10	common	noun	a fossil fuel in the gaseous state; used for cooking and heating homes	0	natural gas	noun.substance	14984229-n
NATURALGLASS	12	common	noun	magma of any composition that cooled very rapidly	0	natural glass	noun.substance	14903756-n
NATURALIMMUNITY	15	common	noun	immunity to disease that occurs as part of an individual's natural biologic makeup	1	natural immunity	noun.state	14552173-n
NATURALISATION	14	common	noun	changing the pronunciation of a borrowed word to agree with the borrowers' phonology	0	naturalisation	noun.act	00085462-n
NATURALISATION	14	common	noun	the introduction of animals or plants to places where they flourish but are not indigenous	0	naturalisation	noun.act	00922770-n
NATURALISATION	14	common	noun	the proceeding whereby a foreigner is granted citizenship	0	naturalisation	noun.act	01190110-n
NATURALISATION	14	common	noun	the quality of being brought into conformity with nature	0	naturalisation	noun.attribute	04794552-n
NATURALISE	10	common	verb	adapt (a wild plant or unclaimed land) to the environment	0	naturalise	verb.change	00303245-v
NATURALISE	10	common	verb	make into a citizen	0	naturalise	verb.change	00413217-v
NATURALISE	10	common	verb	make more natural or lifelike	0	naturalise	verb.change	00413621-v
NATURALISE	10	common	verb	adopt to another place	0	naturalise	verb.change	00413918-v
NATURALISED	11	common	adj	planted so as to give an effect of wild growth	0	naturalised	adj.all	01837507-s
NATURALIST	10	common	noun	a biologist knowledgeable about natural history (especially botany and zoology)	0	naturalist	noun.person	10366245-n
NATURALIST	10	common	noun	an advocate of the doctrine that the world can be understood in scientific terms	0	naturalist	noun.person	10366686-n
NATURALISTIC	12	common	adj	representing what is real; not abstract or ideal	0	naturalistic	adj.all	01987050-s
NATURALIZATION	14	common	noun	changing the pronunciation of a borrowed word to agree with the borrowers' phonology	0	naturalization	noun.act	00085462-n
NATURALIZATION	14	common	noun	the introduction of animals or plants to places where they flourish but are not indigenous	0	naturalization	noun.act	00922770-n
NATURALIZATION	14	common	noun	the proceeding whereby a foreigner is granted citizenship	0	naturalization	noun.act	01190110-n
NATURALIZATION	14	common	noun	the quality of being brought into conformity with nature	0	naturalization	noun.attribute	04794552-n
NATURALIZE	10	common	verb	adapt (a wild plant or unclaimed land) to the environment	0	naturalize	verb.change	00303245-v
NATURALIZE	10	common	verb	make into a citizen	0	naturalize	verb.change	00413217-v
NATURALIZE	10	common	verb	make more natural or lifelike	0	naturalize	verb.change	00413621-v
NATURALIZE	10	common	verb	adopt to another place	0	naturalize	verb.change	00413918-v
NATURALIZE	10	common	verb	explain with reference to nature	0	naturalize	verb.communication	00941788-v
NATURALIZED	11	common	adj	introduced from another region and persisting without cultivation	0	naturalized	adj.all	01039104-s
NATURALIZED	11	common	adj	planted so as to give an effect of wild growth	0	naturalized	adj.all	01837507-s
NATURALLANGUAGE	15	common	noun	a human written or spoken language used by a community; opposed to e.g. a computer language	1	natural language	noun.communication	06916947-n
NATURALLANGUAGEPROCESSING	25	common	noun	the branch of information science that deals with natural language information	1	natural language processing	noun.cognition	06151863-n
NATURALLANGUAGEPROCESSOR	24	common	noun	an application program that deals with natural language text	1	natural language processor	noun.communication	06584187-n
NATURALLAW	10	common	noun	a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society	0	natural law	noun.cognition	05879538-n
NATURALLOGARITHM	16	common	noun	a logarithm to the base e	1	natural logarithm	noun.communication	06825862-n
NATURALLY	9	common	adv	as might be expected	0	naturally	adv.all	00039019-r
NATURALLY	9	common	adv	according to nature; by natural means; without artificial help	0	naturally	adv.all	00141437-r
NATURALLY	9	common	adv	in a natural or normal manner	0	naturally	adv.all	00490971-r
NATURALLY	9	common	adv	through inherent nature	0	naturally	adv.all	00507808-r
NATURALLYOCCURRING	18	common	adj	existing by nature and without artificial aid	0	naturally occurring	adj.all	01853277-s
NATURALNESS	11	common	noun	the likeness of a representation to the thing represented	0	naturalness	noun.attribute	04754486-n
NATURALNESS	11	common	noun	the quality of being natural or based on natural principles	0	naturalness	noun.attribute	04793136-n
NATURALNESS	11	common	noun	the quality of innocent naivete	0	naturalness	noun.attribute	04888025-n
NATURALNUMBER	13	common	noun	the number 1 and any other number obtained by adding 1 to it repeatedly	1	natural number	noun.quantity	13750477-n
NATURALOBJECT	13	common	noun	an object occurring naturally; not made by man	1	natural object	noun.Tops	00019308-n
NATURALORDER	12	common	noun	the physical universe considered as an orderly system subject to natural (not human or supernatural) laws	1	natural order	noun.object	09389494-n
NATURALPHENOMENON	17	common	noun	all phenomena that are not artificial	0	natural phenomenon	noun.phenomenon	11428673-n
NATURALPHILOSOPHY	17	common	noun	the science of matter and energy and their interactions	0	natural philosophy	noun.cognition	06100457-n
NATURALPROCESS	14	common	noun	a process existing in or produced by nature (rather than by the intent of human beings)	1	natural process	noun.process	13540166-n
NATURALRESIN	12	common	noun	a plant exudate	0	natural resin	noun.substance	14918632-n
NATURALRESOURCE	15	common	noun	resources (actual and potential) supplied by nature	0	natural resource	noun.possession	13353024-n
NATURALRESOURCES	16	common	noun	resources (actual and potential) supplied by nature	1	natural resources	noun.possession	13353024-n
NATURALSCIENCE	14	common	noun	the sciences involved in the study of the physical world and its phenomena	0	natural science	noun.cognition	06009578-n
NATURALSCIENTIST	16	common	noun	a biologist knowledgeable about natural history (especially botany and zoology)	1	natural scientist	noun.person	10366245-n
NATURALSELECTION	16	common	noun	a natural process resulting in the evolution of organisms best adapted to the environment	1	natural selection	noun.process	13584949-n
NATURALSHAPE	12	common	noun	a shape created by natural forces; not man-made	1	natural shape	noun.shape	13884885-n
NATURALSPRING	13	common	noun	a natural flow of ground water	1	natural spring	noun.object	09466357-n
NATURALSTATE	12	common	noun	a wild primitive state untouched by civilization	1	natural state	noun.state	13962386-n
NATURALVIRTUE	13	common	noun	(scholasticism) one of the four virtues (prudence, justice, fortitude, and temperance) derived from nature	0	natural virtue	noun.attribute	04854964-n
NATURE	6	common	noun	the essential qualities or characteristics by which something is recognized	0	nature	noun.attribute	04733982-n
NATURE	6	common	noun	a particular type of thing	0	nature	noun.cognition	05848940-n
NATURE	6	common	noun	the natural physical world including plants and animals and landscapes etc.	0	nature	noun.object	09389659-n
NATURE	6	common	noun	a causal agent creating and controlling things in the universe	0	nature	noun.person	09526814-n
NATURESTUDY	11	common	noun	the study of animals and plants in the natural world (usually at an elementary level)	1	nature study	noun.cognition	05805907-n
NATUREWORSHIP	13	common	noun	a system of religion that deifies and worships natural forces and phenomena	1	nature worship	noun.cognition	05958203-n
NATURISM	8	common	noun	going without clothes as a social practice	0	naturism	noun.act	01033595-n
NATURIST	8	common	noun	a person who practices nudity for reasons of health or religion	0	naturist	noun.person	10385400-n
NATURISTIC	10	common	adj	in accord with naturism	0	naturistic	adj.pert	03000537-a
NATUROPATH	10	common	noun	a therapist who practices naturopathy	0	naturopath	noun.person	10366841-n
NATUROPATHY	11	common	noun	a method of treating disease using food and exercise and heat to assist the natural healing process	0	naturopathy	noun.act	00709585-n
NAUCH	5	common	noun	an intricate traditional dance in India performed by professional dancing girls	0	nauch	noun.act	00527830-n
NAUCLEA	7	name	noun	small genus of evergreen tropical shrubs or trees with smooth leathery leaves	0	Nauclea	noun.plant	12689493-n
NAUCRATES	9	name	noun	a genus of Carangidae	0	Naucrates	noun.animal	02582686-n
NAUCRATESDUCTOR	15	common	noun	small pelagic fish often accompanying sharks or mantas	0	Naucrates ductor	noun.animal	02582819-n
NAUGHT	6	common	noun	complete failure	0	naught	noun.act	00067973-n
NAUGHTILY	9	common	adv	in a disobedient or naughty way	0	naughtily	adv.all	00017140-r
NAUGHTINESS	11	common	noun	an attribute of mischievous children	0	naughtiness	noun.attribute	04916740-n
NAUGHTY	7	common	adj	badly behaved	0	naughty	adj.all	01132237-s
NAUGHTY	7	common	adj	suggestive of sexual impropriety	0	naughty	adj.all	02139604-s
NAUMACHIA	9	common	noun	a naval spectacle; a mock sea battle put on by the ancient Romans	0	naumachia	noun.artifact	03816703-n
NAUMACHY	8	common	noun	a naval spectacle; a mock sea battle put on by the ancient Romans	0	naumachy	noun.artifact	03816703-n
NAUPATHIA	9	common	noun	motion sickness experienced while traveling on water	0	naupathia	noun.state	14227424-n
NAURU	5	name	noun	an island republic on Nauru Island; phosphate exports support the economy	1	Nauru	noun.location	08860475-n
NAURUAN	7	common	adj	of or relating to the island republic of Nauru or its residents	0	Nauruan	adj.pert	03100426-a
NAURUAN	7	common	noun	a native or inhabitant of Nauru	0	Nauruan	noun.person	09743358-n
NAUSEA	6	common	noun	disgust so strong it makes you feel sick	0	nausea	noun.feeling	07519350-n
NAUSEA	6	common	noun	the state that precedes vomiting	0	nausea	noun.state	14383357-n
NAUSEANT	8	common	noun	a medicine that induces nausea and vomiting	0	nauseant	noun.artifact	03288430-n
NAUSEATE	8	common	verb	cause aversion in; offend the moral sense of	0	nauseate	verb.emotion	01812341-v
NAUSEATE	8	common	verb	upset and make nauseated	0	nauseate	verb.perception	02199637-v
NAUSEATED	9	common	adj	feeling nausea; feeling about to vomit	0	nauseated	adj.all	02556459-s
NAUSEATING	10	common	adj	causing or able to cause nausea	0	nauseating	adj.all	02570765-s
NAUSEATINGNESS	14	common	noun	extreme unpalatability to the mouth	0	nauseatingness	noun.attribute	05003736-n
NAUSEOUS	8	common	adj	feeling nausea; feeling about to vomit	0	nauseous	adj.all	02556459-s
NAUSEOUS	8	common	adj	causing or able to cause nausea	0	nauseous	adj.all	02570765-s
NAUTCH	6	common	noun	an intricate traditional dance in India performed by professional dancing girls	0	nautch	noun.act	00527830-n
NAUTCHDANCE	11	common	noun	an intricate traditional dance in India performed by professional dancing girls	1	nautch dance	noun.act	00527830-n
NAUTCHGIRL	10	common	noun	a professional dancing girl in India	1	nautch girl	noun.person	10366935-n
NAUTICAL	8	common	adj	relating to or involving ships or shipping or navigation or seamen	0	nautical	adj.pert	02900947-a
NAUTICALCHAIN	13	common	noun	a nautical unit of length (15 ft)	1	nautical chain	noun.quantity	13682196-n
NAUTICALLINEARUNIT	18	common	noun	a linear unit of distance used in navigation	1	nautical linear unit	noun.quantity	13671244-n
NAUTICALSIGNALFLAG	18	common	noun	one of an international code of flag signals used between ships	1	nautical signal flag	noun.communication	06888442-n
NAUTILIDAE	10	name	noun	spiral-shelled cephalopods	0	Nautilidae	noun.animal	01971232-n
NAUTILUS	8	common	noun	cephalopod of the Indian and Pacific oceans having a spiral shell with pale pearly partitions	0	nautilus	noun.animal	01971538-n
NAUTILUS	8	common	noun	cephalopod mollusk of warm seas whose females have delicate papery spiral shells	0	nautilus	noun.animal	01973308-n
NAUTILUS	8	common	noun	a submarine that is propelled by nuclear power	0	nautilus	noun.artifact	03816835-n
NAVAHO	6	common	noun	the Athapaskan language spoken by the Navaho	1	Navaho	noun.communication	06932489-n
NAVAHO	6	common	noun	a member of an Athapaskan people that migrated to Arizona and New Mexico and Utah	0	Navaho	noun.person	09682366-n
NAVAHOLANGUAGE	14	common	noun	the Athapaskan language spoken by the Navaho	1	Navaho language	noun.communication	06932489-n
NAVAJO	6	common	noun	the Athapaskan language spoken by the Navaho	0	Navajo	noun.communication	06932489-n
NAVAJO	6	common	noun	a member of an Athapaskan people that migrated to Arizona and New Mexico and Utah	0	Navajo	noun.person	09682366-n
NAVAJOLANGUAGE	14	common	noun	the Athapaskan language spoken by the Navaho	1	Navajo language	noun.communication	06932489-n
NAVAL	5	common	adj	connected with or belonging to or used in a navy	0	naval	adj.pert	02778473-a
NAVALACADEMY	12	common	noun	an academy for training naval officers	1	naval academy	noun.group	08296586-n
NAVALATTACHE	12	common	noun	a military attache who is a commissioned or warrant officer in a navy	1	naval attache	noun.person	10367029-n
NAVALBATTLE	11	common	noun	a pitched battle between naval fleets	1	naval battle	noun.act	00960588-n
NAVALBLOCKADE	13	common	noun	the interdiction of a nation's lines of communication at sea by the use of naval power	1	naval blockade	noun.act	01076894-n
NAVALBRASS	10	common	noun	alpha-beta brass containing tin; resistant to sea water; Admiralty Metal is a trademark	1	naval brass	noun.substance	14984400-n
NAVALCAMPAIGN	13	common	noun	an operation conducted primarily by naval forces in order to gain or extend or maintain control of the sea	1	naval campaign	noun.act	00972582-n
NAVALCHART	10	common	noun	a chart for a navigator showing the prevailing meteorological and hydrographic and navigational conditions	1	naval chart	noun.artifact	03817188-n
NAVALCOMMANDER	14	common	noun	naval officer in command of a fleet of warships	1	naval commander	noun.person	10367177-n
NAVALDIVISION	13	common	noun	a group of ships of similar type	0	naval division	noun.group	08236147-n
